title,description,published_at,source,url,country
US preparing for ‘short and powerful’ wave of strikes on Iran as peace talks stall: Report,"CENTCOM has prepared a plan for a ""short and powerful"" wave of strikes on Iran to break the deadlock and push it towards a peace deal. | World News",2026-04-30T02:40:33Z,Hindustan Times,https://www.hindustantimes.com/world-news/us-preparing-for-short-and-powerful-wave-of-strikes-on-iran-as-peace-talks-stall-report-101777480718381.html,India
Pakistan opens 6 land routes for Iran trade as Hormuz blockade chokes shipping,"The six designated transit routes include multiple key corridors connecting ports and border points. These range from the shortest Gwadar–Gabd route, which could cut transit time by up to 87 per cent, to longer stretches linking Karachi and Port Qasim through Lyari, Ormara, Pasni, Khuzdar, Dalbandin, and Quetta before reaching either Gabd or Taftan, forming a wide network for overland trade into Iran",2026-04-30T02:38:33Z,Firstpost,https://www.firstpost.com/world/pakistan-opens-6-land-routes-for-iran-trade-as-hormuz-blockade-chokes-shipping-14005953.html,India
"દિલ્હી-મુંબઈ એક્સપ્રેસ-વે પર ભયાનક દુર્ઘટના, ચાલતી કારમાં આગ લાગતા 5 જીવતા ભૂંજાયા",રાજસ્થાનના અલવર જિલ્લામાં દિલ્હી-મુંબઈ એક્સપ્રેસ-વે પર બુધવારે મોડી રાત્રે એક કાળઝાળ અકસ્માત સર્જાયો હતો. વૈષ્ણોદેવીના દર્શન કરીને પરત ફરી રહેલા એક જ પરિવારના 5 સભ્યો ચાલતી કારમાં આગ લાગવાના કારણે જીવતા ભૂંજાયા હતા. આ દુર્ઘટનામાં કાર ચાલક ગંભીર રીતે દાઝી ગયો છે.,2026-04-30T02:37:35Z,Gujarat Samachar,https://www.gujaratsamachar.com/news/national/horrific-car-fire-on-delhi-mumbai-expressway-near-alwar-5-burnt-alive-driver-critical-28905366542.html,India
"'आप मेरी मदद करें, मैं आपका...' ट्रंप ने पुतिन से डेढ़ घंटे तक क्या बात की? खुद कर दिया खुलासा",डोनाल्ड ट्रंप और राष्ट्रपति व्लादिमीर पुतिन के बीच बुधवार (29 अप्रैल) को फोन पर महत्वपूर्ण और लंबी बातचीत हुई. बातचीत में यूक्रेन में जारी युद्ध को रोकने के साथ ईरान तनाव को कम करने पर चर्चा हुई.,2026-04-30T02:36:48Z,ABP News,https://www.abplive.com/news/world/donald-trump-spoke-on-the-phone-with-russian-president-donald-trump-ukraine-war-iran-war-3122237,India
"IPL Points Table 2026: હૈદરાબાદે સતત પાંચમી જીત સાથે લગાવી છલાંગ, મુંબઈની શું છે સ્થિતિ?",IPL Points Table 2026: સીઝનની હાર સાથે શરૂઆત કર્યા પછી સનરાઈઝર્સ હૈદરાબાદે સતત પાંચ મેચ જીતી છે.,2026-04-30T02:34:19Z,ABP Asmita,https://gujarati.abplive.com/sports/ipl/ipl-2026-points-table-today-mi-vs-srh-update-978791,India
"Toluca pierde, pero todavía tiene mucha vida en Concacaf","LAFC vs. Toluca EN VIVO: Goles, resumen, resultado del partido de ida de Semifinales de la Concacaf Champions Cup. | TUDN Concacaf Champions Cup | TUDN",2026-04-30T02:36:46Z,TUDN,https://www.tudn.com/futbol/concacaf-champions-cup/lafc-vs-toluca-en-vivo-goles-resumen-resultado-partido-ida-semifinales-concacaf-champions-cup-2026,USA
D4vd allegedly amputated teen's finger tattooed with his name as part of 'horrifying' attempt to cover up crime: Prosecutors,D4vd was charged last week with the murder of Celeste Rivas Hernandez following a monthslong investigation.,2026-04-30T02:05:38Z,"ABC News - Breaking News, Latest News and Videos",https://abcnews.com/US/d4vd-allegedly-amputated-teens-finger-tattooed-part-horrifying/story?id=132516581,USA
Lakers look to advance,"Enjoy the best of Wednesday's NBA Playoffs action, featuring highlights, updates, stats and notes from Magic-Pistons, Raptors-Cavaliers and Rockets-Lakers.",2026-04-30T02:04:45Z,NBA,https://www.nba.com/news/live-updates-2026-nba-playoffs-r1-magic-look-to-eliminate-pistons,USA
"Kentucky Derby 2026 odds, post positions, picks, date, time: Renegade, Commandment, Further Ado best bets","Top horse racing expert Jody Demling reveals picks for 2026 Kentucky Derby horses like Renegade, Commandment, Further Ado and The Puma",2026-04-30T02:00:46Z,CBS Sports,https://www.cbssports.com/general/news/kentucky-derby-2026-odds-post-positions-picks-date-time-renegade-commandment-further-ado-best-bets/,USA
"Brown University shooting suspect driven by ‘accumulation of grievances’, FBI says","Claudio Neves Valente, who killed himself after deadly attack, began planning for violence in 2022, authorities say",2026-04-30T02:00:00Z,The Guardian,https://www.theguardian.com/us-news/2026/apr/29/brown-university-shooting-suspect-fbi,USA
